UID          PID    PPID  C STIME TTY          TIME CMD
root        1248       2  0 12m23 ?      00:00:00 [ib_addr]
root        1251       2  0 12m23 ?      00:00:00 [irq/67-mei_me]
root        1318       2  0 12m23 ?      00:00:00 [kvm-irqfd-clean]
root        1378       2  0 12m23 ?      00:00:00 [irq/86-hfi1_0 k]
root        1379       2  0 12m23 ?      00:00:00 [irq/87-hfi1_0 k]
root        1380       2  0 12m23 ?      00:00:00 [edac-poller]
root        1381       2  0 12m23 ?      00:00:00 [hfi0_0]
root        1382       2  0 12m23 ?      00:00:00 [hfi1_cq0]
root        1383       2  0 12m23 ?      00:00:00 [ib_mad1]
root        1384       2  0 12m23 ?      00:00:00 [kworker/2:1H]
root        1429       2  0 12m23 ?      00:00:00 [kdmflush]
root        1431       2  0 12m23 ?      00:00:00 [bioset]
root        1717       2  0 12m23 ?      00:00:00 [kworker/12:1H]
root        1718       2  0 12m23 ?      00:00:00 [kworker/3:1H]
syslog      1738       1  0 12m23 ?      00:00:00 /usr/sbin/rsyslogd -n
root        1749       1  0 12m23 ?      00:00:00 /lib/systemd/systemd-logind
root        1754       1  0 12m23 ?      00:00:00 /usr/sbin/acpid
message+    1758       1  0 12m23 ?      00:00:03 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root        1769       1  0 12m23 ?      00:00:00 /usr/bin/python2.7 /usr/bin/ceph-crash
root        1772       1  0 12m23 ?      00:00:00 /usr/sbin/ModemManager
avahi       1784       1  0 12m23 ?      00:00:00 avahi-daemon: running [katherine-PowerEdge-R540.local]
root        1793       1  0 12m23 ?      00:00:04 /usr/lib/accountsservice/accounts-daemon
root        1795       2  0 12m23 ?      00:00:00 [kworker/21:2]
root        1809       1  0 12m23 ?      00:00:04 /usr/sbin/NetworkManager --no-daemon
root        1824       1  0 12m23 ?      00:00:00 /sbin/cgmanager -m name=systemd
root        1839       1  0 12m23 ?      00:00:00 /usr/sbin/cron -f
avahi       1879    1784  0 12m23 ?      00:00:00 avahi-daemon: chroot helper
root        1893       1  0 12m23 ?      00:00:06 /usr/bin/vmware-usbarbitrator
root        1907       1  0 12m23 ?      00:00:04 /usr/lib/policykit-1/polkitd --no-debug
root        1936       2  0 12m23 ?      00:00:00 [iprt-VBoxWQueue]
root        1940       2  0 12m23 ?      00:00:00 [iprt-VBoxTscThr]
root        2030       1  0 12m23 ?      00:03:35 /usr/bin/containerd
mysql       2055       1  0 12m23 ?      01:50:31 /usr/sbin/mysqld
root        2073       1  0 12m23 ?      00:00:00 /usr/sbin/sshd -D
root        2091       2  0 12m23 ?      00:00:00 [kworker/0:1H]
root        2126       2  0 12m23 ?      00:00:00 [kworker/1:1H]
root        2160       2  0 12m23 ?      00:00:00 [kworker/17:1H]
root        2164       2  0 12m23 ?      00:00:00 [kworker/13:1H]
root        2165    1809  0 12m23 ?      00:00:00 /sbin/dhclient -d -q -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient-eno1.pid -lf /var/lib/NetworkManager/dhclient-945b4507-3e86-3f79-afcd-075ca0c79735-eno1.lease -cf /var/lib/NetworkManager/dhclient-eno1.conf eno1
nobody      2178    1809  0 12m23 ?      00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
root        2506       2  0 12m23 ?      00:00:00 [kworker/14:1H]
root        2507    1809  0 12m23 ?      00:00:00 /sbin/dhclient -d -q -6 -N -sf /usr/lib/NetworkManager/nm-dhcp-helper -pf /var/run/dhclient6-eno1.pid -lf /var/lib/NetworkManager/dhclient6-945b4507-3e86-3f79-afcd-075ca0c79735-eno1.lease -cf /var/lib/NetworkManager/dhclient6-eno1.conf eno1
root        2538       1  0 12m23 ?      00:03:13 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
whoopsie    2577       1  0 12m23 ?      00:00:02 /usr/bin/whoopsie -f
root        2624       2  0 12m23 ?      00:00:00 [kworker/21:1H]
root        2713       1  0 12m23 ?      00:00:00 /usr/sbin/libvirtd
mosquit+    2784       1  0 12m23 ?      00:00:50 /usr/sbin/mosquitto -c /etc/mosquitto/mosquitto.conf
root        2848       1  0 12m23 ?      00:04:40 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
root        2886       1  0 12m23 ?      00:00:00 /usr/sbin/lightdm
root        3039       2  0 12m23 ?      00:00:00 [kworker/15:1H]
root        3053    2886  3 12m23 tty7   06:08:16 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        3055       1  0 12m23 tty1   00:00:00 /sbin/agetty --noclear tty1 linux
root        3081       1  0 12m23 ?      00:00:00 /usr/sbin/xinetd -pidfile /run/xinetd.pid -stayalive -inetd_compat -inetd_ipv6
root        3150       1  0 12m23 ?      00:00:00 /usr/lib/vmware/bin/vmware-vmblock-fuse -o subtype=vmware-vmblock,default_permissions,allow_other /var/run/vmblock-fuse
root        3196       1  0 12m23 ?      00:00:00 /usr/bin/vmnet-bridge -s 6 -d /var/run/vmnet-bridge-0.pid -n 0
root        3205       2  0 12m23 ?      00:00:00 [kworker/4:1H]
ntp         3207       1  0 12m23 ?      00:00:17 /usr/sbin/ntpd -p /var/run/ntpd.pid -g -u 122:130
root        3233       2  0 12m23 ?      00:00:00 [kworker/7:1H]
